,KPI Source/Customer,Measure,score_mean,score_median,score_mode,score_quartile_1,score_quartile_2,score_quartile_3,score_min,score_max,measure_value_mean,measure_value_median,measure_value_mode,measure_value_quartile_1,measure_value_quartile_2,measure_value_quartile_3,measure_value_min,measure_value_max,KPI Source
224,Lummus Technology Inc,High CI P3 Tickets for Engineering Business Process,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.65197812104506,75.0,75.0,62.78409090909091,75.0,77.08333333333333,0.0,87.5,Weighted P3 Tickets for Information Technology Business Process
225,Lummus Technology Inc,High CI P3 Tickets for Finance Business Process,96.55172413793103,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P3 Tickets for Finance Business Process
226,Lummus Technology Inc,High CI P3 Tickets for People (HR) Business Process,98.27586206896552,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P3 Tickets for People (HR) Business Process
227,Lummus Technology Inc,High CI P3 Tickets for Quality Management Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P3 Tickets for Quality Management Business Process
228,Lummus Technology Inc,High CI P3 Tickets for Sales Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P3 Tickets for Sales Business Process 
229,Lummus Technology Inc,High CI P3 Tickets for Service Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P3 Tickets for Service Business Process
230,Lummus Technology Inc,High CI P4 Tickets for Accounting Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P4 Tickets for Accounting Business Process
231,Lummus Technology Inc,High CI P4 Tickets for Delivery Business Process,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P4 Tickets for Delivery Business Process
232,Lummus Technology Inc,High CI P4 Tickets for Engineering Business Process,86.20689655172414,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P4 Tickets for Information Technology Business Process
233,Lummus Technology Inc,High CI P4 Tickets for Finance Business Process,96.55172413793103,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weigthed P4 Tickets for Finance Business Process
234,Lummus Technology Inc,High CI P4 Tickets for People (HR) Business Process,98.27586206896552,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weighted P4 Tickets for People (HR) Business Process
